symbol,trader_id,quantity,price,timestamp,order_type,is_anomaly_label,anomaly_type
GOOGL,T006,431,141.46323961653644,2024-01-01 08:41:00,SELL,0,normal
MSFT,T008,214,378.6925571456539,2024-01-01 12:17:00,BUY,0,normal
NVDA,T002,441,823.9887361718886,2024-01-01 12:20:00,SELL,0,normal
GOOGL,T015,425,137.49776012131431,2024-01-01 11:00:00,BUY,0,normal
GOOGL,T011,413,141.14803035129697,2024-01-01 06:51:00,SELL,0,normal
TSLA,T017,84,254.05136077238305,2024-01-01 11:18:00,BUY,0,normal
MSFT,T003,191,369.48872980785086,2024-01-01 10:26:00,SELL,0,normal
NVDA,T007,111,787.6015807030943,2024-01-01 08:33:00,SELL,0,normal
NVDA,T012,356,799.9039179580716,2024-01-01 14:19:00,BUY,0,normal
TSLA,T020,470,256.96778329208803,2024-01-01 02:16:00,SELL,0,normal
JPM,T018,29,191.3508194690198,2024-01-01 13:31:00,SELL,0,normal
MSFT,T009,295,374.0931382542463,2024-01-01 01:16:00,SELL,0,normal
GOOGL,T016,255,141.7941275232223,2024-01-01 10:36:00,BUY,0,normal
AMZN,T010,223,185.4377591211747,2024-01-01 16:13:00,BUY,0,normal
AMZN,T010,400,183.11061771302167,2024-01-01 15:38:00,BUY,0,normal
TSLA,T003,228,250.3216481523699,2024-01-01 14:59:00,BUY,0,normal
MSFT,T006,119,383.20201403596303,2024-01-01 04:40:00,SELL,0,normal
GOOGL,T008,246,140.4054958700088,2024-01-01 14:43:00,SELL,0,normal
TSLA,T015,337,252.33189089080005,2024-01-01 12:41:00,BUY,0,normal
NVDA,T001,339,779.731744012402,2024-01-01 05:19:00,BUY,0,normal
META,T019,69,496.21154008647056,2024-01-01 09:09:00,BUY,0,normal
META,T007,225,490.5612581840746,2024-01-01 02:54:00,BUY,0,normal
META,T008,431,502.09948710782106,2024-01-01 06:11:00,BUY,0,normal
GOOGL,T010,37,138.61439377104313,2024-01-01 08:47:00,BUY,0,normal
MSFT,T009,20,385.580777154222,2024-01-01 03:30:00,SELL,0,normal
META,T003,409,514.598862405897,2024-01-01 03:55:00,BUY,0,normal
GOOGL,T020,285,140.57260575084746,2024-01-01 01:41:00,BUY,0,normal
JPM,T010,8716,196.7645035010152,2024-01-15 00:30:00,BUY,1,volume_spike
GOOGL,T004,419,138.36603714391782,2024-01-01 15:02:00,BUY,0,normal
GOOGL,T003,474,140.23214542907763,2024-01-01 15:47:00,SELL,0,normal
JPM,T014,169,198.04693371666002,2024-01-01 05:46:00,SELL,0,normal
AMZN,T010,130,184.25092308499026,2024-01-01 02:19:00,BUY,0,normal
AMZN,T015,236,188.91411218133788,2024-01-01 10:21:00,SELL,0,normal
AMZN,T009,39,185.10911706323327,2024-01-01 08:19:00,SELL,0,normal
MSFT,T002,41,369.33299920190495,2024-01-01 06:10:00,BUY,0,normal
MSFT,T006,408,369.75222054122133,2024-01-01 03:18:00,SELL,0,normal
TSLA,T014,395,246.6388576306122,2024-01-01 11:27:00,SELL,0,normal
AMZN,T012,404,183.0453040161841,2024-01-01 09:44:00,SELL,0,normal
AAPL,T006,466,173.18243269470838,2024-01-01 15:01:00,BUY,0,normal
META,T017,235,493.20289106380017,2024-01-01 00:59:00,SELL,0,normal
GOOGL,T009,468,140.455998920102,2024-01-01 05:28:00,BUY,0,normal
GOOGL,T015,370,136.48169360356076,2024-01-01 01:36:00,SELL,0,normal
AAPL,T009,155,172.4873897040274,2024-01-01 05:12:00,BUY,0,normal
GOOGL,T020,405,139.84355333699793,2024-01-01 16:14:00,SELL,0,normal
AAPL,T018,496,178.43617325370272,2024-01-01 04:59:00,SELL,0,normal
NVDA,T012,142,801.517420097381,2024-01-01 04:37:00,BUY,0,normal
GOOGL,T007,184,140.79959055785358,2024-01-01 15:24:00,SELL,0,normal
NVDA,T005,185,797.5161130185797,2024-01-01 10:01:00,BUY,0,normal
AMZN,T010,370,189.36288258076112,2024-01-01 07:19:00,BUY,0,normal
GOOGL,T006,288,139.42166803998535,2024-01-01 13:57:00,SELL,0,normal
JPM,T006,458,192.4822487872037,2024-01-01 09:30:00,SELL,0,normal
META,T015,486,485.71269519371555,2024-01-01 14:39:00,BUY,0,normal
GOOGL,T016,85,136.22739817017813,2024-01-01 04:21:00,BUY,0,normal
JPM,T020,270,190.86689582852952,2024-01-01 09:38:00,BUY,0,normal
JPM,T018,377,198.29655745661518,2024-01-01 00:23:00,SELL,0,normal
AMZN,T006,270,186.90758149361614,2024-01-01 00:30:00,BUY,0,normal
MSFT,T015,231,376.5540228666579,2024-01-01 10:17:00,SELL,0,normal
TSLA,T007,416,248.82649094071843,2024-01-01 00:10:00,SELL,0,normal
AMZN,T010,127,189.58600662885402,2024-01-01 03:41:00,SELL,0,normal
AAPL,T002,162,179.9567368598743,2024-01-01 13:40:00,SELL,0,normal
NVDA,T014,400,823.5115073218341,2024-01-01 04:56:00,SELL,0,normal
AMZN,T002,327,187.31054884765325,2024-01-01 00:54:00,BUY,0,normal
GOOGL,T004,379,136.9742157599469,2024-01-01 09:02:00,SELL,0,normal
NVDA,T001,489,801.3179662434828,2024-01-01 03:29:00,BUY,0,normal
NVDA,T013,225,794.7146945058853,2024-01-01 10:04:00,SELL,0,normal
JPM,T006,494,193.7449996415905,2024-01-01 11:32:00,SELL,0,normal
AAPL,T009,60,180.15350253828677,2024-01-01 11:02:00,SELL,0,normal
NVDA,T009,187,817.6753491335792,2024-01-01 14:26:00,BUY,0,normal
NVDA,T011,282,815.3867399667133,2024-01-01 01:10:00,SELL,0,normal
GOOGL,T004,62,139.5050504087852,2024-01-01 09:03:00,SELL,0,normal
META,T020,454,510.4351060167096,2024-01-01 01:47:00,SELL,0,normal
TSLA,T005,240,244.80369668629172,2024-01-01 08:13:00,SELL,0,normal
NVDA,T002,330,821.3799954771175,2024-01-01 09:50:00,BUY,0,normal
NVDA,T015,399,797.8569018292874,2024-01-01 12:21:00,BUY,0,normal
JPM,T019,129,191.62773431255582,2024-01-01 04:52:00,BUY,0,normal
AMZN,T001,217,189.68306232214115,2024-01-01 04:49:00,BUY,0,normal
GOOGL,T002,98,138.14658042242732,2024-01-01 10:52:00,SELL,0,normal
META,T003,147,507.35611528343026,2024-01-01 00:39:00,BUY,0,normal
NVDA,T020,72,778.4826315999868,2024-01-01 09:49:00,BUY,0,normal
TSLA,T005,366,249.21089127688165,2024-01-01 05:07:00,SELL,0,normal
JPM,T006,427,190.24126959229463,2024-01-01 11:19:00,BUY,0,normal
JPM,T005,310,198.30187098463324,2024-01-01 01:06:00,BUY,0,normal
AMZN,T002,397,186.50471992951304,2024-01-01 04:35:00,BUY,0,normal
MSFT,T013,475,385.6541749401158,2024-01-01 01:07:00,BUY,0,normal
